Text_Type,Book,Chapter,Window,GG,GLG,GGG,G,LGL,L,LLG,LGG,GLL,GGL,LLL,LL,LG,GL
SN,CS,siddi,1307,1,83,82,8,73,1,74,66,54,63,44,0,4,1
SN,CS,siddi,1308,1,83,82,8,75,1,75,67,51,64,44,1,4,1
SN,CS,siddi,1309,1,73,83,8,71,1,68,66,48,58,41,1,4,1
SN,CS,siddi,1310,1,71,82,8,70,1,65,64,46,57,36,1,4,1
SN,CS,siddi,1311,1,69,80,8,72,1,61,60,43,56,33,1,4,1
SN,CS,siddi,1312,1,69,78,9,73,1,57,61,39,55,31,1,4,1
SN,CS,siddi,1313,1,69,76,10,68,1,50,60,37,53,29,1,4,1
SN,CS,siddi,1314,1,69,75,11,69,1,50,57,37,53,29,1,4,1
SN,CS,siddi,1315,1,69,75,10,69,2,49,53,36,51,28,1,4,1
SN,CS,siddi,1316,1,68,76,11,68,2,47,48,35,50,28,1,3,1
SN,CS,siddi,1317,1,67,75,11,66,2,44,47,31,46,28,1,3,1
SN,CS,siddi,1318,1,66,73,11,65,3,39,46,29,44,28,1,3,0
SN,CS,siddi,1319,1,65,71,12,64,3,34,44,29,42,27,1,2,0
SN,CS,siddi,1320,1,66,69,12,62,3,32,43,26,42,26,1,2,0
SN,CS,siddi,1321,1,65,65,13,57,2,32,39,25,38,22,1,2,0
SN,CS,siddi,1322,1,66,64,12,58,3,32,40,25,37,22,1,2,0
SN,CS,siddi,1323,1,58,53,11,51,4,28,37,19,33,19,1,2,0
SN,CS,siddi,1324,1,55,52,12,48,4,26,32,18,32,17,1,2,0
SN,CS,siddi,1325,0,48,48,13,45,4,26,30,18,30,14,1,2,0
SN,CS,siddi,1326,0,43,41,14,37,4,21,18,13,17,9,1,2,0
SN,CS,siddi,1327,0,43,40,15,38,4,20,19,13,17,9,1,2,0
SN,CS,siddi,1328,0,42,39,16,38,4,21,19,13,16,9,1,2,0
SN,CS,siddi,1329,0,42,37,17,35,4,20,19,11,15,9,1,1,0
SN,CS,siddi,1330,0,36,31,17,35,4,16,13,9,10,2,1,1,0
SN,CS,siddi,1331,0,37,29,18,36,4,15,14,9,10,2,1,1,0
SN,CS,siddi,1332,0,29,30,18,31,4,11,15,8,10,1,1,1,0
SN,CS,siddi,1333,0,30,28,19,29,4,10,15,8,8,0,0,1,0
SN,CS,siddi,1334,0,29,28,20,30,4,10,14,7,8,0,0,1,0
SN,CS,siddi,1335,0,28,28,20,30,4,11,14,7,8,0,0,1,0
SN,CS,siddi,1336,0,28,27,20,29,4,12,14,7,9,0,0,1,0
SN,CS,siddi,1337,0,28,30,20,29,4,12,13,5,9,0,0,1,0
SN,CS,siddi,1338,0,28,29,20,29,4,13,13,6,8,0,0,1,0
SN,CS,siddi,1339,0,30,28,20,28,4,11,15,6,8,0,0,1,0
SN,CS,siddi,1340,0,31,28,21,28,3,11,15,5,8,0,0,1,0
SN,CS,siddi,1341,0,31,28,21,28,3,11,15,6,7,0,0,1,0
SN,CS,siddi,1342,0,29,27,22,30,3,12,15,5,7,0,0,0,0
SN,CS,siddi,1343,0,27,28,23,29,2,13,15,5,8,0,0,0,0
SN,CS,siddi,1344,0,25,28,23,30,2,12,16,6,8,0,0,0,0
SN,CS,siddi,1345,0,26,29,23,30,2,11,15,5,9,0,0,0,0
SN,CS,siddi,1346,0,25,29,23,31,2,9,15,5,11,0,0,0,0
SN,CS,siddi,1347,0,24,29,24,31,1,8,15,6,12,0,0,0,0
SN,CS,siddi,1348,0,24,29,25,30,0,8,14,5,15,0,0,0,0
SN,CS,siddi,1349,0,25,27,25,30,0,8,15,6,14,0,0,0,0
SN,CS,siddi,1350,0,26,26,25,31,0,8,14,6,14,0,0,0,0
SN,CS,siddi,1351,0,27,25,25,31,0,7,15,5,15,0,0,0,0
SN,CS,siddi,1352,0,25,26,24,31,1,8,14,5,16,0,0,0,0
SN,CS,siddi,1353,0,27,24,24,31,1,7,15,5,16,0,0,0,0
SN,CS,siddi,1354,0,28,23,24,31,1,8,14,5,16,0,0,0,0
SN,CS,siddi,1355,0,27,24,24,31,1,8,16,5,14,0,0,0,0
SN,CS,siddi,1356,0,25,25,24,31,1,9,15,6,14,0,0,0,0
SN,CS,siddi,1357,0,25,23,24,31,1,9,15,6,16,0,0,0,0
SN,CS,siddi,1358,0,23,22,24,32,1,9,16,6,17,0,0,0,0
SN,CS,siddi,1359,0,23,22,24,31,1,9,17,6,17,0,0,0,0
SN,CS,siddi,1360,0,22,22,24,31,1,8,17,6,19,0,0,0,0
SN,CS,siddi,1361,0,23,22,24,30,1,7,17,6,20,0,0,0,0
SN,CS,siddi,1362,0,22,20,24,31,1,8,17,6,21,0,0,0,0
SN,CS,siddi,1363,0,22,20,24,32,1,7,17,5,22,0,0,0,0
SN,CS,siddi,1364,0,21,22,24,32,1,8,15,5,22,0,0,0,0
SN,CS,siddi,1365,0,21,22,24,33,1,8,15,5,21,0,0,0,0
SN,CS,siddi,1366,0,22,20,24,33,1,8,17,4,21,0,0,0,0
SN,CS,siddi,1367,0,23,21,24,32,1,8,17,4,20,0,0,0,0
SN,CS,siddi,1368,0,26,20,24,32,1,7,17,4,19,0,0,0,0
SN,CS,siddi,1369,0,27,22,23,31,2,8,15,3,19,0,0,0,0
SN,CS,siddi,1370,0,26,23,23,31,2,8,16,3,18,0,0,0,0
SN,CS,siddi,1371,0,28,24,23,30,2,8,15,4,16,0,0,0,0
SN,CS,siddi,1372,0,30,24,23,31,2,8,14,3,15,3,0,0,0
SN,CS,siddi,1373,0,32,23,23,32,2,8,15,3,12,6,0,0,0
SN,CS,siddi,1374,0,30,24,23,33,2,9,14,2,13,6,0,0,0
SN,CS,siddi,1375,0,29,24,23,32,2,9,14,2,15,6,0,0,0
SN,CS,siddi,1376,0,29,24,23,32,2,9,14,3,14,6,0,0,0
SN,CS,siddi,1377,0,31,22,23,32,2,8,15,4,13,6,0,0,0
SN,CS,siddi,1378,0,30,22,23,32,2,10,13,4,14,6,0,0,0
SN,CS,siddi,1379,0,29,21,23,33,2,10,13,4,15,6,0,0,0
SN,CS,siddi,1380,0,29,22,22,33,3,10,11,5,15,6,0,0,0
SN,CS,siddi,1381,0,29,22,22,33,3,9,11,4,17,6,0,0,0
SN,CS,siddi,1382,0,28,26,21,33,3,12,11,7,18,6,0,0,0
SN,CS,siddi,1383,0,29,28,21,31,3,13,10,7,17,7,0,0,0
SN,CS,siddi,1384,0,28,26,21,31,3,13,10,8,17,7,0,0,0
