Text_Type,Book,Chapter,Window,GGG,L,GG,GLL,LLG,LGL,G,GGL,LGG,GLG,LLL,LL,LG,GL
SN,CS,siddi,1185,19,3,5,46,59,193,13,102,10,102,7,0,3,0
SN,CS,siddi,1186,19,3,5,46,57,192,14,102,10,103,7,0,3,0
SN,CS,siddi,1187,21,3,5,44,55,191,15,102,10,104,7,0,3,0
SN,CS,siddi,1188,22,3,5,43,54,191,16,102,10,103,7,0,3,0
SN,CS,siddi,1189,22,3,5,41,52,190,17,103,11,104,7,0,3,0
SN,CS,siddi,1190,23,3,5,40,51,189,18,103,11,104,7,0,3,0
SN,CS,siddi,1191,24,3,5,38,50,188,19,103,12,104,7,0,3,0
SN,CS,siddi,1192,24,3,5,37,49,187,20,103,13,104,7,0,3,0
SN,CS,siddi,1193,25,3,5,37,47,187,21,102,13,104,7,0,3,0
SN,CS,siddi,1194,26,3,5,37,46,186,22,101,14,103,7,0,3,0
SN,CS,siddi,1195,28,3,5,36,44,185,23,100,15,103,7,0,3,0
SN,CS,siddi,1196,29,3,5,35,43,183,23,100,15,104,7,0,3,0
SN,CS,siddi,1197,30,3,5,34,42,182,24,100,15,104,7,0,3,0
SN,CS,siddi,1198,31,3,5,32,40,181,25,99,16,106,7,0,3,0
SN,CS,siddi,1199,36,3,5,32,38,181,25,100,21,111,10,0,3,0
SN,CS,siddi,1200,42,3,5,34,37,183,25,102,24,117,11,0,3,0
SN,CS,siddi,1201,44,3,5,32,37,186,26,103,26,122,11,0,3,0
SN,CS,siddi,1202,44,3,5,31,35,185,26,104,27,125,12,0,3,0
SN,CS,siddi,1203,45,3,5,31,36,184,26,104,32,126,12,0,4,0
SN,CS,siddi,1204,46,3,5,30,35,183,26,105,35,132,12,0,4,0
SN,CS,siddi,1205,49,3,5,29,34,183,25,107,40,138,11,0,4,0
SN,CS,siddi,1206,51,4,5,37,35,192,24,115,47,146,14,0,4,0
SN,CS,siddi,1207,51,4,5,36,33,192,24,116,47,147,15,0,4,0
SN,CS,siddi,1208,57,3,5,36,32,193,24,117,49,148,14,0,4,1
SN,CS,siddi,1209,58,4,5,37,31,194,23,117,52,149,12,0,4,1
SN,CS,siddi,1210,58,4,5,36,30,195,23,118,56,151,12,0,4,1
SN,CS,siddi,1211,58,4,5,37,31,192,23,116,58,150,12,0,4,1
SN,CS,siddi,1212,61,4,5,38,32,192,23,115,63,151,14,0,5,1
SN,CS,siddi,1213,67,4,6,39,35,193,23,115,69,155,15,0,5,1
SN,CS,siddi,1214,79,5,6,41,43,200,23,122,82,175,24,0,5,1
SN,CS,siddi,1215,83,5,6,45,45,198,24,127,87,175,24,0,5,1
SN,CS,siddi,1216,87,5,6,46,48,201,25,126,90,177,26,0,4,1
SN,CS,siddi,1217,89,5,6,47,49,202,25,125,92,176,27,0,3,1
SN,CS,siddi,1218,89,5,6,47,50,199,25,125,93,175,28,0,3,1
SN,CS,siddi,1219,89,5,7,48,51,200,25,124,96,174,29,0,3,1
SN,CS,siddi,1220,93,5,7,52,54,202,25,124,103,174,33,0,3,2
SN,CS,siddi,1221,101,6,7,57,61,210,25,131,114,177,39,0,3,2
SN,CS,siddi,1222,103,6,7,60,65,208,25,134,116,177,43,0,3,2
SN,CS,siddi,1223,103,6,7,63,65,204,25,134,121,178,47,0,3,2
SN,CS,siddi,1224,103,6,7,65,68,202,25,136,126,177,49,0,4,2
SN,CS,siddi,1225,106,6,8,68,68,203,25,133,128,177,52,0,4,2
SN,CS,siddi,1226,110,6,8,72,73,201,26,133,130,180,54,0,4,2
SN,CS,siddi,1227,111,6,8,75,74,203,26,136,132,183,57,0,4,2
SN,CS,siddi,1228,111,6,8,75,75,199,26,134,134,181,57,1,4,2
SN,CS,siddi,1229,112,6,8,75,75,196,27,133,135,180,58,1,4,2
SN,CS,siddi,1230,113,7,8,80,77,196,27,135,138,180,60,1,4,2
SN,CS,siddi,1231,114,7,9,82,79,193,26,137,141,180,62,1,4,2
SN,CS,siddi,1232,118,7,9,90,82,194,27,136,142,182,63,1,4,2
SN,CS,siddi,1233,121,7,9,93,82,191,27,135,142,181,64,1,4,2
SN,CS,siddi,1234,122,7,9,97,89,192,27,139,144,191,67,1,4,2
SN,CS,siddi,1235,125,7,9,99,92,190,28,138,146,193,72,1,4,2
SN,CS,siddi,1236,128,7,9,102,96,187,29,137,150,194,75,1,4,2
SN,CS,siddi,1237,130,7,9,108,100,183,29,136,150,193,77,1,4,2
SN,CS,siddi,1238,134,7,9,108,107,187,29,138,151,192,79,1,3,2
SN,CS,siddi,1239,136,7,9,108,109,184,29,136,154,190,79,1,3,2
SN,CS,siddi,1240,137,7,9,110,110,181,30,137,158,189,80,1,3,2
SN,CS,siddi,1241,138,7,9,111,112,179,30,137,163,189,80,1,4,2
SN,CS,siddi,1242,141,7,9,116,115,177,30,140,164,190,80,1,5,2
SN,CS,siddi,1243,143,7,9,118,120,176,30,141,165,191,80,1,5,3
SN,CS,siddi,1244,145,7,9,118,126,174,30,141,168,192,81,1,6,3
SN,CS,siddi,1245,147,7,9,122,129,173,31,139,170,190,82,1,6,3
SN,CS,siddi,1246,151,8,9,123,131,175,31,141,175,190,86,1,6,3
SN,CS,siddi,1247,150,8,8,122,132,175,32,141,176,188,85,1,6,3
SN,CS,siddi,1248,162,8,7,129,135,183,33,144,179,195,88,1,6,3
SN,CS,siddi,1249,161,8,6,127,134,187,33,145,183,197,90,1,6,3
SN,CS,siddi,1250,166,8,6,126,135,190,33,147,186,203,93,1,6,3
SN,CS,siddi,1251,175,8,5,131,140,199,33,160,197,208,98,1,6,3
SN,CS,siddi,1252,176,8,5,131,141,198,32,159,196,209,98,1,6,3
SN,CS,siddi,1253,178,8,5,131,140,198,31,160,196,209,98,1,6,3
SN,CS,siddi,1254,182,8,5,132,140,201,30,161,196,209,98,1,7,3
SN,CS,siddi,1255,188,8,5,134,144,201,30,166,202,215,105,1,7,3
SN,CS,siddi,1256,189,7,5,134,144,200,30,166,200,217,105,1,7,3
SN,CS,siddi,1257,189,7,5,135,147,205,30,164,200,226,106,1,7,3
SN,CS,siddi,1258,191,7,5,135,148,207,29,166,201,224,107,2,7,3
SN,CS,siddi,1259,193,7,5,136,148,205,28,164,202,226,107,2,7,3
SN,CS,siddi,1260,194,7,5,134,148,205,28,164,202,227,107,2,7,3
SN,CS,siddi,1261,195,7,5,133,148,207,28,163,202,226,107,2,7,3
SN,CS,siddi,1262,193,7,5,135,148,207,28,162,203,226,107,2,7,3
SN,CS,siddi,1263,194,7,5,135,147,206,28,162,203,227,107,2,7,3
SN,CS,siddi,1264,195,7,5,135,149,207,28,160,202,226,107,2,7,3
SN,CS,siddi,1265,195,8,5,136,148,207,27,160,202,226,107,2,7,3
SN,CS,siddi,1266,196,8,5,136,147,207,27,160,201,227,107,2,7,3
SN,CS,siddi,1267,198,8,5,136,146,206,26,160,200,229,107,2,8,3
SN,CS,siddi,1268,197,9,5,135,146,206,25,161,200,230,107,2,8,3
SN,CS,siddi,1269,196,9,5,134,146,206,25,161,200,232,107,2,8,3
SN,CS,siddi,1270,194,9,5,135,147,206,25,161,200,232,107,2,8,3
SN,CS,siddi,1271,193,9,5,135,148,207,26,160,201,231,107,2,8,3
SN,CS,siddi,1272,192,10,5,135,148,207,25,159,203,231,107,2,8,3
SN,CS,siddi,1273,192,11,5,136,148,208,24,159,203,229,107,2,8,3
SN,CS,siddi,1274,189,11,5,134,148,207,25,158,198,225,104,2,8,3
SN,CS,siddi,1275,185,11,5,131,148,204,26,155,196,218,103,2,8,3
SN,CS,siddi,1276,185,11,5,132,147,200,26,153,194,213,103,2,8,3
SN,CS,siddi,1277,186,11,5,131,147,200,27,151,194,212,102,2,8,3
SN,CS,siddi,1278,187,11,5,130,145,200,28,150,190,210,102,2,7,3
SN,CS,siddi,1279,188,11,5,130,144,200,29,148,188,204,102,2,7,3
SN,CS,siddi,1280,184,11,5,130,144,199,30,148,183,199,102,2,7,3
SN,CS,siddi,1281,181,10,5,121,141,190,31,140,177,193,98,2,7,3
SN,CS,siddi,1282,182,10,5,121,141,190,31,139,177,192,97,2,7,3
SN,CS,siddi,1283,176,10,5,120,140,189,32,138,176,192,97,2,7,2
SN,CS,siddi,1284,176,9,5,119,139,189,33,138,173,191,97,2,7,2
SN,CS,siddi,1285,177,8,5,119,139,188,34,137,169,189,96,2,7,2
SN,CS,siddi,1286,177,8,5,118,139,189,35,138,167,189,96,2,7,2
SN,CS,siddi,1287,177,8,5,117,138,186,36,137,162,187,94,2,6,2
SN,CS,siddi,1288,172,8,4,117,136,183,37,134,156,182,93,2,6,2
SN,CS,siddi,1289,160,7,4,115,128,173,38,125,145,162,84,2,6,2
SN,CS,siddi,1290,157,7,4,111,126,172,38,119,140,162,84,2,6,2
SN,CS,siddi,1291,155,7,4,110,123,168,38,118,137,159,82,2,6,2
SN,CS,siddi,1292,154,7,4,108,123,168,39,117,135,158,81,2,6,2
SN,CS,siddi,1293,155,7,4,108,123,168,40,117,134,157,80,2,6,2
SN,CS,siddi,1294,155,7,3,108,122,165,41,116,133,156,79,2,6,2
SN,CS,siddi,1295,152,7,3,104,119,160,42,115,126,156,75,2,6,1
SN,CS,siddi,1296,144,6,3,99,112,150,43,108,116,151,69,2,6,1
SN,CS,siddi,1297,142,6,3,97,108,149,44,104,116,149,65,2,6,1
SN,CS,siddi,1298,143,6,3,94,108,150,45,105,111,146,61,2,6,1
SN,CS,siddi,1299,143,6,3,93,105,149,46,101,107,147,59,2,5,1
SN,CS,siddi,1300,141,6,2,90,106,147,47,101,105,146,56,2,5,1
SN,CS,siddi,1301,138,6,2,86,101,146,47,100,104,142,54,2,5,1
SN,CS,siddi,1302,139,7,2,82,101,141,47,96,102,138,51,2,5,1
SN,CS,siddi,1303,139,7,2,82,100,142,48,96,102,140,51,1,5,1
SN,CS,siddi,1304,139,7,2,82,101,142,48,95,101,141,50,1,5,1
SN,CS,siddi,1305,139,6,2,77,99,139,49,91,100,140,48,1,5,1
SN,CS,siddi,1306,139,6,1,76,97,139,50,88,96,140,46,1,5,1
SN,CS,siddi,1307,135,6,1,68,94,135,50,89,96,137,45,1,5,1
SN,CS,siddi,1308,132,6,1,65,94,136,51,89,98,136,44,1,5,1
SN,CS,siddi,1309,133,6,1,61,87,132,52,83,97,125,41,1,5,1
SN,CS,siddi,1310,132,6,1,59,84,131,52,84,95,121,36,1,5,1
SN,CS,siddi,1311,129,6,1,56,80,131,52,85,91,120,33,1,5,1
SN,CS,siddi,1312,128,6,1,50,77,133,53,85,91,119,31,1,5,1
SN,CS,siddi,1313,125,6,1,48,70,129,54,83,90,119,29,1,5,1
SN,CS,siddi,1314,125,6,1,48,69,129,55,83,87,120,29,1,5,1
SN,CS,siddi,1315,125,6,1,46,68,130,55,80,83,121,28,1,5,1
SN,CS,siddi,1316,124,6,1,45,66,129,56,78,80,121,28,1,4,1
SN,CS,siddi,1317,123,6,1,40,64,128,57,73,79,119,28,1,3,1
SN,CS,siddi,1318,121,6,1,38,59,126,58,71,78,119,28,1,3,0
SN,CS,siddi,1319,121,7,1,38,54,125,58,69,75,117,27,1,2,0
SN,CS,siddi,1320,121,7,1,34,51,123,58,69,74,118,26,1,2,0
SN,CS,siddi,1321,118,6,1,34,49,118,59,65,69,118,22,1,2,0
SN,CS,siddi,1322,117,6,1,34,48,120,59,64,69,120,25,1,2,0
SN,CS,siddi,1323,105,6,1,27,44,113,59,60,66,114,25,1,2,0
SN,CS,siddi,1324,103,6,1,26,43,111,60,59,61,110,23,1,2,0
SN,CS,siddi,1325,98,6,0,26,43,108,61,59,58,103,20,1,2,0
SN,CS,siddi,1326,90,6,0,21,37,100,62,46,47,99,15,1,2,0
SN,CS,siddi,1327,88,7,0,22,36,101,62,46,48,99,15,1,2,0
SN,CS,siddi,1328,85,7,0,22,38,101,63,46,47,99,15,1,2,0
SN,CS,siddi,1329,81,7,0,20,38,99,64,46,46,99,15,1,1,0
SN,CS,siddi,1330,77,8,0,19,34,99,63,39,40,92,8,1,1,0
SN,CS,siddi,1331,76,8,0,19,33,100,64,41,40,91,8,1,1,0
SN,CS,siddi,1332,79,8,0,21,32,95,63,44,41,82,7,1,1,0
SN,CS,siddi,1333,78,8,0,21,32,92,64,42,41,82,7,0,1,0
SN,CS,siddi,1334,76,8,0,21,32,92,65,42,41,80,7,0,1,0
